serialno,weight,cut,color,clarity,mine,price,depth,table,x,y,z
AA425466,0.5,Very Good,H,SI1,EAST,1148,60,55,5.2,5.23,3.13
AA872644,1.14,Premium,F,SI2,EAST,4399,62.8,58,6.61,6.56,4.14
AA576736,0.23,Very Good,E,VVS1,WEST,485,63.3,57,3.88,3.95,2.48
AA883803,1.03,Premium,F,VS2,NORTH,6484,62,58,6.5,6.46,4.02
AA582695,1,Fair,F,SI1,SOUTH,4256,66.4,57,6.21,6.14,4.1
AA219648,0.73,Very Good,G,SI1,EAST,2564,58.8,61,5.87,5.93,3.47
AA602902,0.3,Ideal,H,VS1,WEST,675,62.3,55,4.34,4.29,2.69
AA769252,0.97,Premium,F,VVS2,NORTH,6768,58.1,60,6.53,6.49,3.78
AA461848,1.01,Good,F,SI1,SOUTH,4479,63.3,58,6.31,6.4,4.02
AA573326,0.71,Ideal,I,SI1,EAST,2319,61,56,5.75,5.78,3.52
AA402415,0.3,Good,F,VS2,WEST,484,63.5,55,4.25,4.28,2.71
AA263587,0.51,Fair,F,VS2,WEST,1334,61,66,5.12,5.04,3.1
AA135885,0.71,Good,F,SI1,EAST,2308,63.7,58,5.65,5.62,3.59
AA758528,0.35,Ideal,F,VVS1,EAST,994,60.6,56,4.58,4.59,2.78
AA134934,0.32,Ideal,E,SI2,WEST,427,61.3,56,4.42,4.45,2.72
AA314099,0.32,Ideal,G,VS2,WEST,672,62.4,55,4.39,4.36,2.73
AA142357,0.64,Ideal,E,VS2,EAST,2238,62,55,5.52,5.55,3.43
AA665035,0.7,Premium,G,VS1,EAST,2459,58.3,58,5.9,5.86,3.43
AA804720,1.34,Premium,G,VS2,NORTH,7780,61,60,7.13,7.07,4.33
AA121665,0.41,Very Good,D,VS2,WEST,779,62.8,58,4.73,4.76,2.98
AA562365,0.55,Premium,G,SI2,WEST,1186,60.3,58,5.35,5.33,3.22
AA526146,0.32,Ideal,E,VS2,EAST,900,62.1,56,4.41,4.38,2.73
AA62267,1,Premium,D,SI1,NORTH,5880,60.3,59,6.47,6.44,3.89
AA203180,0.31,Premium,E,VS1,WEST,734,61.9,58,4.31,4.32,2.67
AA981422,0.3,Premium,G,VS1,EAST,776,61.3,58,4.33,4.29,2.64
AA9376,1.22,Good,H,VS2,NORTH,7201,63.8,55,6.77,6.71,4.3
AA66606,0.41,Ideal,E,VS1,EAST,1079,60.9,57,4.76,4.79,2.91
AA121767,0.7,Very Good,D,SI1,EAST,2242,64,53,5.57,5.61,3.58
AA786860,1.31,Ideal,G,VVS2,NORTH,11975,61.3,58,7.03,7.07,4.32
AA505021,1.63,Very Good,H,VVS1,NORTH,13211,59.1,58,7.68,7.84,4.59
AA337507,0.74,Very Good,I,VVS2,EAST,2600,62.8,55,5.75,5.78,3.62
AA344537,0.9,Ideal,H,VS2,SOUTH,4173,61.6,57,6.17,6.29,3.84
AA184162,0.9,Very Good,E,SI1,SOUTH,4315,63,56,6.11,6.15,3.86
AA166776,1.05,Ideal,F,SI1,SOUTH,4729,61.8,57,6.51,6.54,4.03
AA830823,0.32,Premium,G,VS2,WEST,720,60.7,58,4.42,4.38,2.67
AA367674,0.33,Ideal,F,VVS1,EAST,893,61.1,56,4.45,4.48,2.73
AA105012,0.3,Ideal,F,SI1,WEST,500,62.3,54,4.27,4.3,2.67
AA219219,0.37,Ideal,G,VS2,WEST,649,60.8,57,4.61,4.66,2.82
AA916105,0.44,Very Good,E,SI1,WEST,970,63.4,57,4.85,4.81,3.06
AA538508,2.03,Very Good,I,VS2,NORTH,15826,61.4,59,8.06,8.12,4.97
AA384350,1.57,Premium,D,SI1,NORTH,11976,62.2,59,7.37,7.45,4.61
AA388123,0.4,Premium,E,SI2,WEST,855,61.4,59,4.75,4.7,2.9
AA509297,0.52,Ideal,G,VVS2,EAST,1911,61.5,56,5.18,5.2,3.19
AA24167,1.51,Premium,I,SI1,NORTH,8794,62.6,60,7.34,7.27,4.57
AA432833,0.7,Good,F,VVS2,SOUTH,3445,62.5,58,5.68,5.75,3.57
AA860997,1.25,Ideal,G,IF,NORTH,11511,60.2,54,6.99,7.03,4.22
AA248326,0.32,Ideal,J,VS2,WEST,504,62.2,57,4.38,4.36,2.72
AA508967,0.5,Very Good,I,VVS1,EAST,1448,62.8,61,4.98,5.05,3.15
AA263846,1.12,Premium,I,VS1,SOUTH,5058,62.2,59,6.66,6.59,4.12
AA812421,0.93,Good,G,SI1,SOUTH,4405,58.8,61,6.36,6.39,3.75
AA887211,0.4,Ideal,H,VVS1,EAST,1017,62.3,54,4.74,4.77,2.96
AA164992,1,Good,H,SI1,SOUTH,4702,63.7,60,6.3,6.33,4.02
AA30903,0.52,Premium,I,SI1,WEST,1105,62.9,58,5.14,5.04,3.2
AA998571,1.51,Very Good,I,SI2,SOUTH,7441,63.5,60,7.28,7.21,4.6
AA709811,0.41,Ideal,F,VS2,EAST,1107,61.8,57,4.78,4.73,2.94
AA838450,0.51,Premium,F,VS2,EAST,1687,62.1,58,5.12,5.09,3.17
AA538923,0.7,Good,D,VVS2,SOUTH,3312,63.7,55,5.66,5.61,3.59
AA199355,1.26,Ideal,I,VS2,SOUTH,6350,62.6,55,6.96,6.91,4.34
AA211764,0.6,Premium,D,SI1,EAST,1996,60.4,60,5.48,5.44,3.3
AA790339,0.31,Good,J,SI2,WEST,335,63.3,58,4.34,4.35,2.75
AA327618,1.02,Very Good,H,SI1,SOUTH,5455,61,59,6.48,6.53,3.97
AA382706,1.12,Premium,J,VS2,EAST,4422,58.6,58,6.85,6.81,4
AA795792,0.35,Good,E,SI2,WEST,588,64,55,4.49,4.45,2.86
AA80635,0.71,Ideal,E,VS1,SOUTH,3081,62.2,57,5.74,5.7,3.56
AA664763,0.7,Very Good,D,VS1,NORTH,4095,60.3,58,5.76,5.79,3.48
AA979555,0.56,Ideal,G,VS2,EAST,1580,62.1,56,5.29,5.31,3.29
AA871170,0.3,Premium,G,VVS2,WEST,684,61.9,59,4.25,4.28,2.64
AA274406,1.26,Ideal,H,SI1,NORTH,7701,62,56,6.92,6.94,4.3
AA261830,1,Good,D,SI2,EAST,3569,64,59,6.24,6.29,4.01
AA866996,0.3,Premium,D,SI1,WEST,552,59.7,59,4.34,4.37,2.6
AA388505,0.5,Good,D,VS2,EAST,1635,63.7,56,5.05,5.09,3.23
AA864450,0.72,Premium,J,VS2,EAST,1944,61.4,58,5.76,5.74,3.53
AA105578,1.51,Very Good,D,VS2,NORTH,12311,63.2,57,7.27,7.25,4.59
AA750419,0.76,Ideal,D,VS1,NORTH,4229,61.3,57,5.87,5.9,3.61
AA817580,0.36,Ideal,F,VS2,WEST,726,60.9,57,4.58,4.61,2.8
AA505104,0.5,Ideal,D,VS2,EAST,1712,61.9,59,5.07,5.1,3.15
AA742904,0.32,Ideal,G,SI1,WEST,612,61.3,57,4.4,4.37,2.69
AA437376,2,Ideal,I,VS1,NORTH,12907,62.3,56,8.08,8.03,5.02
AA115284,0.7,Good,E,VS1,SOUTH,3419,58.4,61,5.85,5.89,3.43
AA425726,1.5,Very Good,I,IF,NORTH,10147,62.9,58,7.21,7.31,4.57
AA766557,1.56,Premium,D,SI1,NORTH,12226,62.6,58,7.36,7.44,4.63
AA774330,0.7,Ideal,G,SI1,EAST,2276,62.4,56,5.66,5.69,3.54
AA703623,1.02,Ideal,G,VS2,NORTH,6352,62.5,57,6.41,6.45,4.02
AA447737,0.42,Ideal,H,VVS1,EAST,1052,61.4,55,4.81,4.83,2.96
AA679714,1.01,Very Good,F,SI2,SOUTH,4384,62.3,59,6.31,6.37,3.95
AA35762,0.37,Very Good,G,SI2,WEST,624,63.3,55,4.61,4.58,2.91
AA942246,0.36,Premium,D,VS2,EAST,852,61.8,58,4.55,4.58,2.82
AA730108,1.01,Very Good,H,SI1,SOUTH,4876,61.8,59,6.37,6.41,3.95
AA758564,1.22,Good,J,SI1,EAST,4612,63.8,57,6.77,6.72,4.3
AA67708,0.41,Ideal,D,VVS1,EAST,1582,62.3,57,4.77,4.73,2.96
AA663008,0.5,Ideal,F,VVS1,EAST,2018,62,58,5.06,5.07,3.14
AA783678,1.31,Premium,J,VS2,SOUTH,6822,62,59,7.04,6.97,4.34
AA795803,0.73,Good,E,VS1,EAST,3146,63.7,59,5.67,5.69,3.62
AA979167,0.71,Premium,E,SI1,EAST,2743,62.2,58,5.74,5.67,3.55
AA523585,1.51,Very Good,I,VS2,NORTH,9178,60.4,58,7.36,7.42,4.46
AA731533,0.32,Ideal,D,SI1,WEST,756,62,57,4.42,4.38,2.73
AA615215,0.36,Ideal,D,VS2,EAST,1094,61.1,57,4.62,4.58,2.81
AA728182,0.26,Ideal,H,VS2,WEST,434,61.3,56,4.09,4.13,2.52
AA546665,1.01,Premium,E,SI1,NORTH,5525,60.7,58,6.5,6.48,3.94
AA620006,0.9,Good,H,VS1,EAST,4072,60.6,61,6.13,6.19,3.73
AA228791,0.33,Good,G,IF,EAST,1052,57.9,60,4.57,4.55,2.64
AA103957,1.2,Ideal,F,VS1,NORTH,9641,62,55,6.81,6.83,4.23
AA33537,0.5,Ideal,G,VVS2,EAST,1787,61.4,56,5.11,5.15,3.15
AA972237,0.34,Premium,I,SI1,WEST,589,60,58,4.55,4.51,2.72
AA526837,0.41,Premium,F,VS1,EAST,1007,59.9,58,4.81,4.84,2.89
AA471281,0.39,Ideal,E,VS2,WEST,796,61.4,56,4.68,4.74,2.89
AA969301,1.01,Good,F,VS1,SOUTH,5606,62.9,64,6.38,6.28,3.98
AA344980,0.76,Ideal,F,SI2,EAST,2624,60.3,60,5.86,5.89,3.54
AA773481,0.26,Good,E,VVS1,WEST,554,57.9,60,4.22,4.25,2.45
AA293016,1.3,Ideal,G,VS1,NORTH,6928,62.4,56,7.03,6.95,4.36
AA387927,0.33,Very Good,E,VS2,EAST,772,59.8,59,4.5,4.53,2.7
AA578794,0.54,Ideal,G,VS1,EAST,1567,61.4,57,5.2,5.23,3.2
AA260603,0.55,Ideal,H,SI1,EAST,1248,61.5,54,5.3,5.33,3.27
AA587859,1.3,Ideal,F,VVS2,NORTH,12745,62.1,55,7.04,6.96,4.35
AA13707,1.7,Premium,F,SI2,SOUTH,9330,58.5,60,7.87,7.8,4.58
AA97613,1,Premium,E,SI2,SOUTH,4704,61.7,58,6.39,6.34,3.93
AA953664,1.07,Premium,H,SI2,EAST,4494,61.2,60,6.57,6.53,4.01
AA321357,0.43,Very Good,I,SI2,WEST,691,61.5,54,4.86,4.89,3
AA255249,0.31,Very Good,G,VVS1,EAST,1046,63.5,57,4.33,4.3,2.74
AA160961,1.16,Ideal,I,SI2,EAST,3800,62.4,55,6.76,6.69,4.2
AA543580,1.14,Premium,H,SI2,EAST,3830,62.2,61,6.72,6.64,4.16
AA913129,0.31,Very Good,G,VVS1,EAST,816,59.9,62,4.35,4.37,2.61
AA948852,0.33,Premium,G,VS2,WEST,579,60.8,58,4.45,4.47,2.71
AA750243,0.3,Ideal,I,VS2,WEST,438,61.5,58,4.28,4.31,2.64
AA644412,0.61,Very Good,F,VS2,EAST,1805,62.6,60,5.34,5.39,3.36
AA270574,0.61,Ideal,D,SI1,EAST,1904,61.6,55,5.49,5.51,3.39
AA971877,0.44,Premium,E,SI1,WEST,1040,62.3,59,4.88,4.84,3.03
AA528389,1.01,Premium,G,SI1,SOUTH,4808,62.7,59,6.41,6.35,4
AA81188,0.3,Premium,E,VS1,EAST,911,61.9,60,4.3,4.26,2.65
AA623151,0.9,Good,E,SI2,EAST,3895,61.3,61,6.13,6.17,3.77
AA12417,1.24,Premium,H,VS2,NORTH,6850,61.2,59,6.89,6.93,4.23
AA356688,0.38,Ideal,F,IF,EAST,1397,62.2,55,4.66,4.64,2.89
AA519707,0.71,Ideal,I,VS1,SOUTH,2965,61.3,57,5.73,5.76,3.52
AA358148,0.4,Very Good,D,SI1,EAST,924,63.3,57,4.71,4.68,2.97
AA361414,0.31,Good,F,VS2,WEST,583,63.7,59,4.26,4.31,2.73
AA900726,0.36,Ideal,E,VS2,EAST,789,61.2,56,4.6,4.62,2.82
AA371933,1.51,Very Good,J,SI1,SOUTH,7637,62.3,59,7.22,7.28,4.52
AA563779,1.25,Very Good,H,SI2,EAST,5637,61.2,62,6.84,6.95,4.22
AA791564,1.03,Ideal,J,SI1,EAST,3921,61.9,56,6.45,6.5,4.01
AA71559,0.97,Premium,F,SI1,SOUTH,4726,59.9,59,6.39,6.36,3.82
AA962618,0.54,Good,E,VVS2,EAST,2391,57.5,61,5.47,5.39,3.12
AA499136,1.26,Very Good,I,VS1,SOUTH,6855,59.2,60,7.09,7.02,4.18
AA116907,1.12,Premium,I,VS2,SOUTH,5027,61.9,58,6.63,6.68,4.12
AA717045,0.31,Ideal,H,VS1,EAST,698,61.1,57,4.39,4.35,2.67
AA589407,0.91,Premium,E,SI2,EAST,3846,61.6,60,6.14,6.1,3.77
AA530364,0.3,Premium,H,VVS1,EAST,878,62.2,58,4.29,4.26,2.66
AA711003,0.71,Good,H,SI1,EAST,2354,57.9,62,5.82,5.86,3.38
AA377600,0.33,Premium,I,VVS1,EAST,780,61.7,61,4.45,4.43,2.74
AA535902,1.06,Ideal,I,VS2,EAST,4449,62.3,56,6.51,6.56,4.07
AA650621,1.24,Ideal,I,SI2,SOUTH,5866,61.8,58,6.85,6.9,4.25
AA84720,0.5,Ideal,H,VVS2,EAST,1608,60.4,55,5.16,5.2,3.13
AA404718,2.01,Good,G,SI1,NORTH,18625,60.3,60,8.07,8.18,4.9
AA724075,0.74,Very Good,E,VVS2,SOUTH,3616,61.9,59,5.74,5.77,3.56
AA623323,0.54,Ideal,E,VS1,EAST,2041,62,56,5.25,5.17,3.23
AA19206,0.89,Ideal,F,SI1,SOUTH,4127,62.1,55,6.15,6.18,3.83
AA897776,1.02,Premium,F,SI2,EAST,4238,60.4,60,6.53,6.49,3.93
AA501569,0.33,Premium,G,VS2,WEST,579,61.9,59,4.4,4.46,2.74
AA450824,1.29,Ideal,J,VS2,SOUTH,5771,62.1,59,6.92,6.96,4.31
AA638846,2,Very Good,G,SI2,SOUTH,9475,63.5,57,7.91,7.86,4.99
AA407135,0.4,Premium,F,SI2,WEST,631,62.6,60,4.65,4.68,2.92
AA720456,0.32,Ideal,E,VVS2,EAST,842,62.3,56,4.37,4.4,2.73
AA283625,0.54,Ideal,D,VS2,EAST,1763,60.9,56,5.3,5.27,3.22
AA988884,0.31,Good,E,SI1,WEST,698,63.7,57,4.31,4.29,2.74
AA95407,1.68,Very Good,F,VS2,NORTH,15309,61.1,60,7.63,7.7,4.68
AA349207,0.3,Very Good,D,VS1,WEST,661,59.4,60,4.34,4.38,2.59
AA352785,0.44,Premium,I,VVS1,WEST,990,62.5,60,4.87,4.82,3.03
AA333444,0.37,Ideal,F,VS2,WEST,746,60.6,56,4.63,4.64,2.81
AA138494,0.52,Very Good,F,SI2,WEST,1273,57.9,61,5.28,5.33,3.07
AA848039,1.22,Ideal,J,VS1,SOUTH,5649,61.5,55,6.86,6.87,4.22
AA652846,2.01,Ideal,I,SI1,NORTH,15680,62.3,57,8.04,8.08,5.02
AA545702,1.51,Good,H,SI2,SOUTH,7340,59.9,64,7.53,7.39,4.47
AA918960,1.18,Ideal,I,VS2,SOUTH,6304,62.3,56,6.76,6.73,4.21
AA147607,0.52,Ideal,D,VVS1,NORTH,3218,62,57,5.15,5.17,3.2
AA964215,0.33,Ideal,H,IF,EAST,959,60.6,57,4.51,4.5,2.73
AA242131,2,Premium,G,SI2,NORTH,12388,60.3,57,8.25,8.06,4.92
AA259794,1.65,Premium,G,SI2,NORTH,9970,62.2,58,7.62,7.55,4.72
AA684100,0.5,Very Good,E,VS2,EAST,1407,61.3,62,5.05,5.1,3.11
AA292234,0.93,Ideal,E,SI1,SOUTH,4229,62.8,56,6.24,6.19,3.9
AA671383,1.51,Ideal,G,SI2,NORTH,9104,61.2,56.1,7.39,7.41,4.53
AA998999,0.62,Premium,G,VS1,EAST,1933,59.8,58,5.55,5.58,3.33
AA269578,0.26,Very Good,G,VVS1,WEST,545,61.6,56,4.14,4.17,2.55
AA498984,0.39,Very Good,H,SI2,WEST,562,62.4,59,4.58,4.65,2.88
AA569240,0.7,Good,D,VS1,SOUTH,3239,57.8,60,5.85,5.87,3.39
AA811909,0.42,Premium,D,SI1,WEST,1040,62.1,59,4.79,4.77,2.97
AA911593,0.53,Ideal,F,VS1,EAST,1812,62.3,55,5.18,5.22,3.24
AA914922,1.11,Good,D,VS2,NORTH,7863,63.2,57,6.61,6.64,4.18
AA548861,2.01,Very Good,H,VS2,NORTH,18507,63.2,58,7.93,8.01,5.04
AA809756,1,Very Good,H,SI2,EAST,3975,63.1,58,6.29,6.36,3.99
AA420697,0.4,Ideal,F,IF,EAST,1292,62.3,57,4.69,4.71,2.93
AA122578,0.72,Ideal,F,VVS1,NORTH,5006,60.8,56,5.81,5.83,3.54
AA465933,0.82,Ideal,G,SI1,EAST,3123,60.7,57,6.07,6.06,3.68
AA215319,0.41,Premium,F,SI2,WEST,907,60.3,58,4.86,4.82,2.92
AA455793,0.7,Premium,F,SI2,EAST,2234,59.5,58,5.82,5.72,3.44
AA723714,1.28,Good,J,SI1,EAST,4878,63.4,59,6.84,6.89,4.35
AA259237,1.15,Ideal,E,VVS2,NORTH,12193,61.5,57,6.72,6.75,4.14
AA44202,0.3,Premium,D,SI1,WEST,709,62.2,58,4.31,4.28,2.67
AA612731,0.42,Ideal,E,SI1,WEST,773,62.6,57,4.81,4.84,3.02
AA374840,0.47,Ideal,I,VVS1,EAST,1365,61.6,55,4.99,5.01,3.08
AA992284,0.52,Very Good,H,SI1,WEST,1111,62.6,55,5.12,5.16,3.22
AA49873,0.53,Very Good,J,SI1,WEST,1044,61.5,56,5.18,5.21,3.19
AA167271,0.31,Ideal,F,SI1,WEST,516,60.5,57,4.4,4.43,2.67
AA846496,1.02,Premium,H,SI1,EAST,4558,61.9,61,6.42,6.34,3.95
AA985012,0.72,Ideal,G,VVS2,SOUTH,3139,62.4,57,5.71,5.76,3.58
AA46609,1.14,Ideal,G,VS2,NORTH,7042,61.5,57,6.68,6.72,4.12
AA993657,0.53,Ideal,G,VVS1,EAST,1990,62.1,54,5.2,5.23,3.24
AA990061,1.04,Premium,D,VVS2,NORTH,10314,60.8,58,6.53,6.49,3.96
AA192085,0.44,Good,F,SI1,WEST,970,63.8,54,4.85,4.8,3.08
AA434624,0.32,Very Good,D,SI1,EAST,756,63.1,56,4.38,4.34,2.75
AA753712,0.77,Good,I,VS1,EAST,2184,64.1,55,5.8,5.86,3.73
AA721054,0.53,Ideal,E,VVS1,NORTH,3352,61.5,54,5.25,5.23,3.22
AA99556,1.25,Ideal,I,SI1,SOUTH,6352,61,56,6.97,7.02,4.27
AA929618,0.32,Ideal,E,VS2,WEST,639,61.7,56,4.39,4.43,2.72
AA513972,0.39,Very Good,F,VS2,WEST,716,62.1,59,4.69,4.71,2.92
AA606388,0.52,Good,I,SI1,WEST,978,63.6,60,5.05,5.1,3.23
AA991028,1.09,Premium,I,SI1,EAST,3968,61.9,58,6.65,6.58,4.1
AA479366,1.23,Premium,G,VS2,NORTH,8431,62,59,6.87,6.8,4.24
AA509951,0.7,Very Good,G,VS2,EAST,2302,63.1,58,5.69,5.66,3.58
AA639669,1.01,Very Good,F,SI2,EAST,4121,61,60,6.44,6.48,3.94
AA362647,0.4,Premium,H,VS1,WEST,793,62.7,58.5,4.7,4.74,2.96
AA153303,1.11,Premium,F,SI2,SOUTH,5284,62.2,57,6.67,6.61,4.13
AA857904,1.05,Ideal,F,VVS1,NORTH,10872,61.6,55,6.57,6.53,4.04
AA38677,0.33,Ideal,G,SI2,WEST,434,61.9,56,4.41,4.45,2.74
AA668963,2.2,Premium,J,VS1,NORTH,15201,61.7,59,8.34,8.3,5.13
AA375165,0.62,Very Good,E,SI2,EAST,1624,58.8,63,5.58,5.61,3.29
AA896872,0.53,Ideal,D,VS2,EAST,1956,62.3,56,5.17,5.14,3.21
AA599298,1.24,Premium,J,I1,EAST,2994,61.9,55,6.92,6.85,4.26
AA666327,0.73,Ideal,D,VS1,NORTH,4196,61.5,58,5.76,5.79,3.55
AA7860,1.01,Good,E,SI2,EAST,4118,63.7,55,6.38,6.31,4.05
AA386755,1.23,Premium,I,SI2,EAST,4773,62.1,59,6.83,6.79,4.23
AA89298,0.3,Ideal,E,VVS2,EAST,766,62.3,57,4.29,4.31,2.68
AA252451,0.51,Very Good,D,SI1,EAST,1403,61.7,58,5.09,5.12,3.15
AA547655,1.12,Premium,D,VVS2,NORTH,12152,59.8,58,6.87,6.77,4.08
AA850614,1.22,Ideal,H,SI2,SOUTH,5502,61,57,6.88,6.93,4.2
AA367141,0.89,Ideal,G,VVS2,SOUTH,4062,61.7,55,6.22,6.19,3.83
AA506708,1.02,Fair,E,SI1,NORTH,5681,65.7,58,6.23,6.31,4.12
AA405815,2.06,Premium,I,SI2,NORTH,14982,61,59,8.24,8.21,5.02
AA430641,0.64,Ideal,G,VVS2,SOUTH,2587,61.8,54,5.53,5.56,3.42
AA540276,2.06,Ideal,I,SI2,NORTH,14120,62.4,55,8.1,8.14,5.07
AA100337,0.43,Premium,D,SI2,WEST,716,60.7,58,4.85,4.91,2.96
AA873188,0.42,Ideal,H,VS1,EAST,1299,61,57,4.85,4.89,2.97
AA872318,1.51,Very Good,G,VS2,NORTH,12906,63.5,59,7.2,7.13,4.55
AA448473,1.01,Ideal,H,VS1,NORTH,5777,62.6,57,6.37,6.4,4
AA164509,0.77,Very Good,F,VVS1,NORTH,4399,60.2,58,5.93,5.97,3.58
AA525122,0.41,Very Good,D,SI2,EAST,818,63.1,54,4.75,4.72,2.99
AA478933,0.4,Ideal,D,VS2,EAST,982,62.3,57,4.72,4.75,2.95
AA629997,0.57,Premium,H,VVS1,EAST,2172,61.6,58,5.39,5.35,3.31
AA947196,0.75,Premium,G,SI1,EAST,1980,59.4,62,5.95,5.91,3.52
AA821156,1.01,Very Good,H,VVS1,NORTH,6733,60.6,56,6.5,6.53,3.95
AA381391,1.1,Ideal,F,VS1,NORTH,8279,61.7,57,6.67,6.65,4.11
AA79109,1.51,Premium,G,VS1,NORTH,12831,62.4,60,7.3,7.34,4.57
AA672691,0.35,Ideal,F,SI1,WEST,583,62.2,56,4.48,4.52,2.8
AA388158,0.37,Very Good,F,IF,EAST,995,60.4,57,4.65,4.68,2.81
AA607094,0.28,Very Good,F,VVS2,WEST,642,59.7,59,4.26,4.28,2.55
AA918880,0.52,Premium,D,VS2,EAST,1774,61.8,58,5.15,5.2,3.2
AA752077,0.9,Good,D,SI2,EAST,3534,60.3,64,6.1,6.14,3.69
AA562824,0.33,Premium,I,VS1,WEST,521,59.5,60,4.5,4.54,2.69
AA546164,1,Premium,F,SI1,SOUTH,4586,61.4,60,6.38,6.35,3.91
AA577810,0.31,Ideal,G,SI2,WEST,436,62.2,54,4.36,4.39,2.72
AA941026,1.01,Ideal,G,SI1,SOUTH,5387,61.2,57,6.44,6.5,3.96
AA656106,0.25,Very Good,I,VVS2,WEST,500,62.1,56,4.03,4.05,2.51
AA437075,0.59,Very Good,G,VS2,EAST,1664,61.1,57,5.4,5.43,3.31
AA970601,1.58,Ideal,G,IF,NORTH,17329,62.2,57,7.45,7.51,4.65
AA420555,0.4,Ideal,D,VS2,EAST,1125,60.5,57,4.8,4.76,2.89
AA154553,1.26,Very Good,J,SI1,EAST,4989,61.8,58,6.88,6.91,4.26
AA621582,0.31,Ideal,E,VS2,EAST,872,61.8,54,4.41,4.36,2.71
AA294030,0.47,Ideal,E,VVS2,SOUTH,1883,62,55,4.97,5,3.09
AA657735,0.53,Good,G,VS2,EAST,1395,63.4,58,5.13,5.16,3.26
AA839919,0.9,Good,F,SI2,EAST,3267,64.3,57,6.06,6.16,3.93
AA179131,0.4,Ideal,E,VS1,EAST,1053,62,54,4.74,4.77,2.95
AA539378,0.32,Ideal,D,VS2,EAST,758,61.9,55,4.41,4.44,2.74
AA416454,0.85,Good,G,SI1,EAST,2244,64.2,58,6.01,5.92,3.83
AA108668,1,Fair,E,SI1,EAST,4213,58.1,63,6.6,6.52,3.81
AA787745,0.42,Ideal,D,VVS2,EAST,1326,62.6,56,4.77,4.79,2.99
AA778303,0.72,Ideal,D,SI1,EAST,2757,60.8,57,5.75,5.76,3.5
AA885256,0.9,Very Good,F,SI1,SOUTH,4498,59.1,59,6.3,6.35,3.74
AA892024,0.54,Ideal,F,VS2,EAST,1786,60.3,55,5.32,5.26,3.19
AA379694,1.01,Good,H,VS2,SOUTH,4909,59.6,64,6.53,6.45,3.87
AA729655,0.51,Ideal,G,SI2,WEST,1148,62.1,56,5.1,5.13,3.18
AA929395,1.2,Ideal,H,VS1,NORTH,7768,62.3,54,6.78,6.86,4.25
AA881497,1.36,Very Good,G,VVS2,NORTH,11774,60.8,60,7.12,7.16,4.34
AA642817,0.52,Ideal,G,VVS2,EAST,1897,61.6,57,5.16,5.2,3.19
AA789866,0.79,Very Good,E,SI2,EAST,2941,59.2,59,6.04,6.06,3.58
AA903345,0.78,Ideal,G,SI1,EAST,2496,61,57,5.94,5.99,3.64
AA804020,1.05,Ideal,D,SI2,SOUTH,4932,60.2,57,6.58,6.65,3.98
AA210729,0.35,Premium,E,VVS2,EAST,1024,60.2,58,4.66,4.61,2.79
AA578634,1.06,Ideal,I,VVS1,NORTH,6945,60.2,57,6.62,6.66,4
AA967965,1.04,Premium,J,VS2,EAST,4043,58.7,58,6.68,6.61,3.9
AA784041,1,Premium,E,SI2,SOUTH,4579,62.7,58,6.41,6.34,4
AA903829,0.3,Premium,F,VVS1,EAST,1114,61.8,59,4.29,4.26,2.64
AA511378,0.71,Premium,I,VS2,EAST,2127,62.7,59,5.66,5.69,3.56
AA82025,0.31,Ideal,F,SI1,WEST,663,62.3,56,4.35,4.32,2.7
AA409902,1.13,Very Good,J,VS2,EAST,4206,62,59,6.62,6.66,4.12
AA523966,1.03,Ideal,I,SI2,EAST,3925,62.2,57,6.46,6.5,4.03
AA637023,0.4,Premium,E,VS1,EAST,1053,60.3,58,4.8,4.82,2.9
AA549890,0.7,Very Good,H,SI1,EAST,2048,63.3,58,5.61,5.64,3.56
AA605531,0.9,Very Good,G,SI2,EAST,3842,59.8,61,6.32,6.28,3.77
AA973276,0.41,Good,I,VS1,WEST,754,60.1,60.1,4.79,4.82,2.89
AA383946,0.31,Ideal,D,VS2,EAST,879,59.4,56,4.45,4.4,2.63
AA996979,0.56,Ideal,F,VS1,EAST,2016,61.9,55,5.36,5.32,3.3
AA417269,0.33,Ideal,I,SI1,WEST,456,62,53.5,4.46,4.5,2.78
AA841745,0.57,Very Good,E,SI2,EAST,1384,58.8,57.3,5.42,5.46,3.21
AA26020,0.8,Premium,J,SI2,EAST,2074,61.4,57,5.99,5.93,3.66
AA561357,1.13,Premium,H,SI1,SOUTH,5101,62.3,58,6.67,6.68,4.16
AA865710,0.52,Good,F,SI1,WEST,1357,63.6,62,5.07,4.96,3.2
AA303927,1.01,Premium,E,SI2,EAST,4308,58.6,58,6.66,6.62,3.89
AA737584,0.71,Ideal,E,VS2,SOUTH,3304,62.1,55,5.72,5.75,3.56
AA843890,0.32,Premium,G,SI1,WEST,612,60.9,56,4.45,4.41,2.7
AA489742,0.3,Very Good,G,VS1,EAST,725,63.5,58,4.26,4.21,2.69
AA784898,0.3,Premium,G,IF,EAST,956,61.6,60,4.32,4.29,2.65
AA51744,0.7,Premium,D,VS1,SOUTH,3425,61.2,60,5.69,5.71,3.49
AA899103,0.83,Very Good,G,SI2,EAST,2259,63.1,61,5.96,5.92,3.75
AA861792,0.8,Very Good,F,VS1,SOUTH,3603,63.8,55,5.84,5.89,3.74
AA614814,0.31,Ideal,I,VVS1,WEST,536,61.2,55.6,4.33,4.38,2.67
